week,region,country,betaMean,betaStd
2018-01-01/2018-01-07,Europe,Albania,0.060608979186754015,1.0770213225350336
2018-01-01/2018-01-07,Europe,Austria,0.04771735855097092,1.0242700986766706
2018-01-01/2018-01-07,Europe,Belarus,-0.8546841047378088,0.39449598824193155
2018-01-01/2018-01-07,Europe,Belgium,0.11186948850361234,1.0891820600095918
2018-01-01/2018-01-07,Europe,Bosnia and Herzegovina,-0.013889975376578465,1.0321996764958632
2018-01-01/2018-01-07,Europe,Bulgaria,0.9064998623579537,0.25515236348772735
2018-01-01/2018-01-07,Europe,Croatia,0.06572971996993764,1.0395279348559217
2018-01-01/2018-01-07,Europe,Cyprus,0.08717522885169082,1.0792567560440827
2018-01-01/2018-01-07,Europe,Czech Republic,0.08598668681652186,1.0572940190992748
2018-01-01/2018-01-07,Europe,Denmark,0.03170725364448808,1.141569267629729
2018-01-01/2018-01-07,Europe,Estonia,0.041028477923904266,1.1350576480316386
2018-01-01/2018-01-07,Europe,Finland,0.0013472813051874407,1.0341465280564477
2018-01-01/2018-01-07,Europe,France,-0.028265455599270357,1.1100384298419375
2018-01-01/2018-01-07,Europe,Germany,0.08703116609150113,1.0622760206366455
2018-01-01/2018-01-07,Europe,Greece,-0.46498435279721867,0.3133920891003229
2018-01-01/2018-01-07,Europe,Hungary,0.10708242920360116,1.0684724706281838
2018-01-01/2018-01-07,Europe,Iceland,0.10376687675394461,1.0759566353538894
2018-01-01/2018-01-07,Europe,Ireland,-0.03040941627960904,1.0938120679086782
2018-01-01/2018-01-07,Europe,Italy,0.012559301270003077,1.0740512704962957
2018-01-01/2018-01-07,Europe,Kosovo,-1.4117573892687423,0.4025512518989745
2018-01-01/2018-01-07,Europe,Latvia,0.08568870436392997,1.0825697416390487
2018-01-01/2018-01-07,Europe,Lithuania,0.007715040552221612,1.1538993526699923
2018-01-01/2018-01-07,Europe,Luxembourg,0.017690457668765903,0.9974185857921982
2018-01-01/2018-01-07,Europe,Malta,0.01175667267188158,1.1203155170747925
2018-01-01/2018-01-07,Europe,Moldova,-1.4113918668334071,0.42860440472062267
2018-01-01/2018-01-07,Europe,Montenegro,0.04214980962857382,1.0731427139856728
