week,region,meanUncertainty,hdiOverlapRate,entropy,entropyReliable
2018-01-01/2018-01-07,Caucasus and Central Asia,0.15194444444444444,0.5,4.175929579472646,True
2018-01-01/2018-01-07,Europe,0.7415243902439024,0.9560975609756097,5.991464547107983,False
2018-01-01/2018-01-07,Middle East,0.0880128205128205,0.23076923076923078,4.774322440997056,True
2018-01-01/2018-01-07,Northern Africa,0.23066666666666666,0.6,2.598302565181916,True
2018-01-08/2018-01-14,Caucasus and Central Asia,0.09097222222222223,0.4444444444444444,3.396295704825224,True
2018-01-08/2018-01-14,Europe,0.6465670731707318,0.9158536585365854,5.991464547107983,False
2018-01-08/2018-01-14,Middle East,0.04564102564102564,0.15384615384615385,3.454239684537971,True
2018-01-08/2018-01-14,Northern Africa,0.13500000000000004,0.26666666666666666,1.9597697525734104,True
2018-01-15/2018-01-21,Caucasus and Central Asia,0.1173611111111111,0.4444444444444444,3.5357017773054604,True
2018-01-15/2018-01-21,Europe,0.5515426829268293,0.8878048780487805,5.991464547107983,False
2018-01-15/2018-01-21,Middle East,0.048782051282051285,0.14102564102564102,3.5918335125863017,True
2018-01-15/2018-01-21,Northern Africa,0.1366666666666667,0.5333333333333333,2.198910037750384,True
2018-01-22/2018-01-28,Caucasus and Central Asia,0.08736111111111111,0.3888888888888889,2.841212582193089,True
2018-01-22/2018-01-28,Europe,0.59075,0.9060975609756098,5.991464547107983,False
2018-01-22/2018-01-28,Middle East,0.06993589743589744,0.15384615384615385,3.816834581529783,True
2018-01-22/2018-01-28,Northern Africa,0.155,0.6666666666666666,2.5071108140425,True
2018-01-29/2018-02-04,Caucasus and Central Asia,0.09333333333333332,0.3611111111111111,3.116704005166594,True
2018-01-29/2018-02-04,Europe,0.5434085365853659,0.8719512195121951,5.991464547107983,False
2018-01-29/2018-02-04,Middle East,0.049166666666666664,0.10256410256410256,3.0865368388001384,True
2018-01-29/2018-02-04,Northern Africa,0.07933333333333333,0.3333333333333333,1.437584495308115,True
2018-02-05/2018-02-11,Caucasus and Central Asia,0.08333333333333333,0.3055555555555556,2.8889722907932454,True
2018-02-05/2018-02-11,Europe,0.5627378048780488,0.8853658536585366,5.991464547107983,False
2018-02-05/2018-02-11,Middle East,0.044679487179487186,0.1282051282051282,3.242309889128751,True
2018-02-05/2018-02-11,Northern Africa,0.08733333333333333,0.4,1.5041868849742202,True
2018-02-12/2018-02-18,Caucasus and Central Asia,0.17333333333333334,0.5277777777777778,4.070872344303415,True
2018-02-12/2018-02-18,Europe,0.5580182926829268,0.8768292682926829,5.991464547107983,False
2018-02-12/2018-02-18,Middle East,0.07871794871794871,0.1794871794871795,4.241648901267367,True
2018-02-12/2018-02-18,Northern Africa,0.15999999999999998,0.4,2.3071666738586463,True
2018-02-19/2018-02-25,Caucasus and Central Asia,0.14708333333333334,0.5,3.577676643295564,True
2018-02-19/2018-02-25,Europe,0.5428780487804878,0.8707317073170732,5.991464547107983,False
2018-02-19/2018-02-25,Middle East,0.06115384615384616,0.16666666666666666,3.66902223323162,True
2018-02-19/2018-02-25,Northern Africa,0.11866666666666667,0.26666666666666666,1.9140808590429108,True
2018-02-26/2018-03-04,Caucasus and Central Asia,0.23097222222222222,0.6111111111111112,4.909476345295934,True
2018-02-26/2018-03-04,Europe,0.49292073170731704,0.8475609756097561,5.991464547107983,False
2018-02-26/2018-03-04,Middle East,0.04621794871794872,0.1282051282051282,2.8067470736437423,True
2018-02-26/2018-03-04,Northern Africa,0.1556666666666667,0.6,2.5514884463350667,True
2018-03-05/2018-03-11,Caucasus and Central Asia,0.1075,0.3055555555555556,3.240588727871591,True
2018-03-05/2018-03-11,Europe,0.5585121951219513,0.8975609756097561,5.991464547107983,False
2018-03-05/2018-03-11,Middle East,0.054679487179487174,0.1794871794871795,3.805976513736019,True
2018-03-05/2018-03-11,Northern Africa,0.23600000000000002,0.7333333333333333,3.0077163392100053,True
2018-03-12/2018-03-18,Caucasus and Central Asia,0.06666666666666665,0.3333333333333333,2.390698759800015,True
2018-03-12/2018-03-18,Europe,0.5395426829268293,0.8914634146341464,5.991464547107983,False
2018-03-12/2018-03-18,Middle East,0.040705128205128206,0.19230769230769232,3.0699877365581805,True
2018-03-12/2018-03-18,Northern Africa,0.24033333333333334,0.6666666666666666,3.2622027662507205,True
2018-03-19/2018-03-25,Caucasus and Central Asia,0.1686111111111111,0.3888888888888889,4.4589405403891735,True
2018-03-19/2018-03-25,Europe,0.6055060975609756,0.9097560975609756,5.991464547107983,False
2018-03-19/2018-03-25,Middle East,0.056025641025641025,0.14102564102564102,3.47323022138661,True
2018-03-19/2018-03-25,Northern Africa,0.074,0.3333333333333333,1.6508439703135038,True
2018-03-26/2018-04-01,Caucasus and Central Asia,0.08041666666666665,0.3611111111111111,2.4087203634741496,True
2018-03-26/2018-04-01,Europe,0.5723963414634147,0.9048780487804878,5.991464547107983,False
2018-03-26/2018-04-01,Middle East,0.041602564102564105,0.19230769230769232,3.503207200425729,True
2018-03-26/2018-04-01,Northern Africa,0.253,0.7333333333333333,2.932360778962836,True
2018-04-02/2018-04-08,Caucasus and Central Asia,0.05374999999999999,0.2222222222222222,2.142339698996605,True
2018-04-02/2018-04-08,Europe,0.5179817073170732,0.8878048780487805,5.991464547107983,False
2018-04-02/2018-04-08,Middle East,0.032756410256410254,0.14102564102564102,2.6732621144022,True
2018-04-02/2018-04-08,Northern Africa,0.8276666666666667,1.0,5.118834854612419,True
2018-04-09/2018-04-15,Caucasus and Central Asia,0.12305555555555554,0.3888888888888889,3.7604322706975126,True
2018-04-09/2018-04-15,Europe,0.6417743902439025,0.9219512195121952,5.991464547107983,False
2018-04-09/2018-04-15,Middle East,0.03615384615384615,0.16666666666666666,2.79458436938905,True
2018-04-09/2018-04-15,Northern Africa,0.17733333333333332,0.6666666666666666,2.6485291688749983,True
2018-04-16/2018-04-22,Caucasus and Central Asia,0.18541666666666667,0.4722222222222222,3.806107411643709,True
2018-04-16/2018-04-22,Europe,0.5498353658536586,0.8926829268292683,5.991464547107983,False
2018-04-16/2018-04-22,Middle East,0.09185897435897436,0.15384615384615385,4.275496900465405,True
2018-04-16/2018-04-22,Northern Africa,0.25933333333333336,0.5333333333333333,2.9720480989597564,True
2018-04-23/2018-04-29,Caucasus and Central Asia,0.07333333333333332,0.3333333333333333,2.4982415763859653,True
2018-04-23/2018-04-29,Europe,0.5445609756097561,0.8621951219512195,5.991464547107983,False
2018-04-23/2018-04-29,Middle East,0.08076923076923077,0.20512820512820512,4.729978869425377,True
2018-04-23/2018-04-29,Northern Africa,0.227,0.6666666666666666,3.2279890402370826,True
2018-04-30/2018-05-06,Caucasus and Central Asia,0.08875,0.25,3.005719277892661,True
2018-04-30/2018-05-06,Europe,0.5407865853658537,0.901219512195122,5.991464547107983,False
2018-04-30/2018-05-06,Middle East,0.06314102564102564,0.1794871794871795,3.783734203805144,True
2018-04-30/2018-05-06,Northern Africa,0.3416666666666667,0.7333333333333333,3.689112334679598,True
2018-05-07/2018-05-13,Caucasus and Central Asia,0.10166666666666666,0.25,3.06493136743207,True
2018-05-07/2018-05-13,Europe,0.5065975609756098,0.8890243902439025,5.991464547107983,False
2018-05-07/2018-05-13,Middle East,0.03455128205128205,0.08974358974358974,2.535660700310925,True
2018-05-07/2018-05-13,Northern Africa,0.11200000000000002,0.3333333333333333,1.826645017290428,True
2018-05-14/2018-05-20,Caucasus and Central Asia,0.15916666666666668,0.5,3.834502619963956,True
2018-05-14/2018-05-20,Europe,0.526469512195122,0.8475609756097561,5.991464547107983,False
2018-05-14/2018-05-20,Middle East,0.06628205128205128,0.10256410256410256,3.944828135769957,True
2018-05-14/2018-05-20,Northern Africa,0.10666666666666666,0.4,1.630589384856538,True
2018-05-21/2018-05-27,Caucasus and Central Asia,0.07347222222222222,0.2777777777777778,2.639223611762108,True
2018-05-21/2018-05-27,Europe,0.5304024390243902,0.8804878048780488,5.991464547107983,False
2018-05-21/2018-05-27,Middle East,0.1267948717948718,0.24358974358974358,5.541045948409504,True
2018-05-21/2018-05-27,Northern Africa,0.184,0.5333333333333333,2.6002207490853384,True
2018-05-28/2018-06-03,Caucasus and Central Asia,0.10444444444444445,0.2777777777777778,3.062815888466325,True
2018-05-28/2018-06-03,Europe,0.6006036585365854,0.9158536585365854,5.991464547107983,False
2018-05-28/2018-06-03,Middle East,0.06423076923076923,0.2564102564102564,4.14507756854018,True
2018-05-28/2018-06-03,Northern Africa,0.16633333333333333,0.4,2.131960484553987,True
2018-06-04/2018-06-10,Caucasus and Central Asia,0.06569444444444444,0.08333333333333333,1.9234906476124327,True
2018-06-04/2018-06-10,Europe,0.5303597560975609,0.8256097560975609,5.991464547107983,False
2018-06-04/2018-06-10,Middle East,0.046217948717948716,0.20512820512820512,3.458136365643839,True
2018-06-04/2018-06-10,Northern Africa,0.12966666666666668,0.3333333333333333,1.8782615607689488,True
2018-06-11/2018-06-17,Caucasus and Central Asia,0.07083333333333333,0.3333333333333333,2.261681582322232,True
2018-06-11/2018-06-17,Europe,0.5391524390243903,0.8158536585365853,5.991464547107983,False
2018-06-11/2018-06-17,Middle East,0.057179487179487176,0.21794871794871795,3.6931095642155576,True
2018-06-11/2018-06-17,Northern Africa,0.21866666666666668,0.7333333333333333,2.5917917938597803,True
2018-06-18/2018-06-24,Caucasus and Central Asia,0.14958333333333332,0.5,3.5386374021417235,True
2018-06-18/2018-06-24,Europe,0.5304085365853659,0.823170731707317,5.991464547107983,False
2018-06-18/2018-06-24,Middle East,0.05794871794871794,0.1794871794871795,3.910727981568071,True
2018-06-18/2018-06-24,Northern Africa,0.147,0.6,2.206258022634122,True
2018-06-25/2018-07-01,Caucasus and Central Asia,0.15291666666666667,0.5,3.906765069152935,True
2018-06-25/2018-07-01,Europe,0.5278170731707317,0.8731707317073171,5.991464547107983,False
2018-06-25/2018-07-01,Middle East,0.11416666666666665,0.19230769230769232,5.08536236591992,True
2018-06-25/2018-07-01,Northern Africa,0.35500000000000004,0.8,3.907601816158207,True
2018-07-02/2018-07-08,Caucasus and Central Asia,0.15166666666666667,0.3611111111111111,3.828885879591292,True
2018-07-02/2018-07-08,Europe,0.5168841463414634,0.875609756097561,5.991464547107983,False
2018-07-02/2018-07-08,Middle East,0.03807692307692308,0.20512820512820512,3.134016075801879,True
2018-07-02/2018-07-08,Northern Africa,0.264,0.4666666666666667,3.2354293916950505,True
2018-07-09/2018-07-15,Caucasus and Central Asia,0.10902777777777778,0.4444444444444444,3.5895974158123383,True
2018-07-09/2018-07-15,Europe,0.5525792682926829,0.9024390243902439,5.991464547107983,False
2018-07-09/2018-07-15,Middle East,0.06673076923076923,0.15384615384615385,4.133331174858224,True
2018-07-09/2018-07-15,Northern Africa,0.3126666666666667,0.6666666666666666,3.589135598185934,True
2018-07-16/2018-07-22,Caucasus and Central Asia,0.10263888888888889,0.3333333333333333,3.3675515626235035,True
2018-07-16/2018-07-22,Europe,0.5318963414634147,0.8987804878048781,5.991464547107983,False
2018-07-16/2018-07-22,Middle East,0.1271153846153846,0.19230769230769232,5.621630361861435,True
2018-07-16/2018-07-22,Northern Africa,0.3496666666666667,0.7333333333333333,3.737896613764393,True
2018-07-23/2018-07-29,Caucasus and Central Asia,0.09013888888888891,0.2777777777777778,2.7962659843842954,True
2018-07-23/2018-07-29,Europe,0.5316890243902439,0.8939024390243903,5.991464547107983,False
2018-07-23/2018-07-29,Middle East,0.08506410256410256,0.20512820512820512,4.647201013569593,True
2018-07-23/2018-07-29,Northern Africa,0.2,0.4,2.4833033087009504,True
2018-07-30/2018-08-05,Caucasus and Central Asia,0.13777777777777778,0.3611111111111111,3.822026480256512,True
2018-07-30/2018-08-05,Europe,0.6081890243902439,0.9304878048780488,5.991464547107983,False
2018-07-30/2018-08-05,Middle East,0.03378205128205128,0.11538461538461539,2.721702012473882,True
2018-07-30/2018-08-05,Northern Africa,0.36266666666666664,0.8666666666666667,4.012283458485734,True
2018-08-06/2018-08-12,Caucasus and Central Asia,0.15916666666666668,0.4444444444444444,4.168602120757959,True
2018-08-06/2018-08-12,Europe,0.6014573170731707,0.9207317073170732,5.991464547107983,False
2018-08-06/2018-08-12,Middle East,0.06660256410256411,0.1282051282051282,3.7549717768122894,True
2018-08-06/2018-08-12,Northern Africa,0.4086666666666667,0.9333333333333333,4.241236106048848,True
2018-08-13/2018-08-19,Caucasus and Central Asia,0.09930555555555556,0.25,3.072865909874776,True
2018-08-13/2018-08-19,Europe,0.546,0.9036585365853659,5.991464547107983,False
2018-08-13/2018-08-19,Middle East,0.057628205128205115,0.15384615384615385,3.820976378144689,True
2018-08-13/2018-08-19,Northern Africa,0.13666666666666666,0.4,2.094420203831008,True
2018-08-20/2018-08-26,Caucasus and Central Asia,0.2715277777777778,0.6944444444444444,4.851077990246476,True
2018-08-20/2018-08-26,Europe,0.5806768292682927,0.9097560975609756,5.991464547107983,False
2018-08-20/2018-08-26,Middle East,0.04185897435897436,0.19230769230769232,3.3603272535634665,True
2018-08-20/2018-08-26,Northern Africa,0.32533333333333325,0.8,3.682675952054491,True
2018-08-27/2018-09-02,Caucasus and Central Asia,0.09930555555555556,0.3055555555555556,2.9741527517456414,True
2018-08-27/2018-09-02,Europe,0.5897743902439024,0.8939024390243903,5.991464547107983,False
2018-08-27/2018-09-02,Middle East,0.04685897435897436,0.19230769230769232,3.4051564987724814,True
2018-08-27/2018-09-02,Northern Africa,0.285,0.5333333333333333,3.338979044940806,True
2018-09-03/2018-09-09,Caucasus and Central Asia,0.08680555555555555,0.3055555555555556,2.7433966187695624,True
2018-09-03/2018-09-09,Europe,0.5202317073170731,0.8719512195121951,5.991464547107983,False
2018-09-03/2018-09-09,Middle East,0.009294871794871791,0.0641025641025641,1.215011278891887,True
2018-09-03/2018-09-09,Northern Africa,0.21666666666666667,0.6,2.7310829623843498,True
2018-09-10/2018-09-16,Caucasus and Central Asia,0.11152777777777777,0.3333333333333333,3.2175591441415103,True
2018-09-10/2018-09-16,Europe,0.5189573170731707,0.8780487804878049,5.991464547107983,False
2018-09-10/2018-09-16,Middle East,0.02185897435897436,0.1282051282051282,2.5522437690450848,True
2018-09-10/2018-09-16,Northern Africa,0.32633333333333336,0.8,3.5584113012473995,True
2018-09-17/2018-09-23,Caucasus and Central Asia,0.10694444444444445,0.3055555555555556,3.190700380475198,True
2018-09-17/2018-09-23,Europe,0.5502073170731707,0.8841463414634146,5.991464547107983,False
2018-09-17/2018-09-23,Middle East,0.05442307692307692,0.1282051282051282,3.920203720579577,True
2018-09-17/2018-09-23,Northern Africa,0.32399999999999995,0.6666666666666666,3.5752210380251026,True
2018-09-24/2018-09-30,Caucasus and Central Asia,0.1226388888888889,0.3611111111111111,3.6016737364348788,True
2018-09-24/2018-09-30,Europe,0.4661585365853659,0.8865853658536585,5.991464547107983,False
2018-09-24/2018-09-30,Middle East,0.05942307692307692,0.21794871794871795,4.103101333840378,True
2018-09-24/2018-09-30,Northern Africa,0.1593333333333333,0.4666666666666667,2.3512936122143904,True
2018-10-01/2018-10-07,Caucasus and Central Asia,0.08569444444444445,0.2222222222222222,2.7424869330294683,True
2018-10-01/2018-10-07,Europe,0.5143475609756097,0.8256097560975609,5.991464547107983,False
2018-10-01/2018-10-07,Middle East,0.06807692307692308,0.14102564102564102,4.418219217580657,True
2018-10-01/2018-10-07,Northern Africa,0.7536666666666666,1.0,5.164969279239012,True
2018-10-08/2018-10-14,Caucasus and Central Asia,0.18625,0.4166666666666667,4.217750180247164,True
2018-10-08/2018-10-14,Europe,0.5341219512195122,0.8939024390243903,5.991464547107983,False
2018-10-08/2018-10-14,Middle East,0.05602564102564102,0.14102564102564102,3.91122912071109,True
2018-10-08/2018-10-14,Northern Africa,0.23500000000000001,0.4666666666666667,2.956535884023554,True
2018-10-15/2018-10-21,Caucasus and Central Asia,0.1313888888888889,0.3888888888888889,3.419243729731921,True
2018-10-15/2018-10-21,Europe,0.5252439024390244,0.8621951219512195,5.991464547107983,False
2018-10-15/2018-10-21,Middle East,0.04858974358974359,0.1794871794871795,3.719411612432026,True
2018-10-15/2018-10-21,Northern Africa,0.12699999999999997,0.3333333333333333,1.9372710299818987,True
2018-10-22/2018-10-28,Caucasus and Central Asia,0.20416666666666666,0.5277777777777778,4.475842232613284,True
2018-10-22/2018-10-28,Europe,0.5924207317073171,0.8621951219512195,5.991464547107983,False
2018-10-22/2018-10-28,Middle East,0.0673076923076923,0.23076923076923078,4.389331287561529,True
2018-10-22/2018-10-28,Northern Africa,0.30566666666666664,0.8666666666666667,3.912710118522953,True
2018-10-29/2018-11-04,Caucasus and Central Asia,0.16791666666666666,0.5,4.004734304054815,True
2018-10-29/2018-11-04,Europe,0.5207743902439025,0.8195121951219512,5.991464547107983,False
2018-10-29/2018-11-04,Middle East,0.05826923076923077,0.1794871794871795,3.958186851118471,True
2018-10-29/2018-11-04,Northern Africa,0.4296666666666667,0.8666666666666667,3.9687385224216327,True
2018-11-05/2018-11-11,Caucasus and Central Asia,0.059861111111111115,0.25,2.4419371687390883,True
2018-11-05/2018-11-11,Europe,0.5254878048780488,0.8317073170731707,5.991464547107983,False
