week,region,country,betaMean,betaStd
2018-01-22/2018-01-28,Middle East,Kuwait,0.5921876710891198,0.2423325788992537
2018-01-22/2018-01-28,Middle East,Lebanon,-1.7421825093212069,0.10824123938075485
2018-01-22/2018-01-28,Middle East,Palestine,0.4783669170803946,0.05879122044520708
2018-01-22/2018-01-28,Middle East,Qatar,0.6164035639656735,0.24072654618440287
2018-01-22/2018-01-28,Middle East,Saudi Arabia,-0.7993938682110098,0.08142859431857606
2018-01-22/2018-01-28,Middle East,Syria,2.4061707456646304,0.05511006317903045
2018-01-22/2018-01-28,Middle East,Turkey,-0.05561492521454655,0.06348067920884727
2018-01-22/2018-01-28,Middle East,Yemen,1.3184520751999065,0.12008414783435944
2018-01-29/2018-02-04,Middle East,Bahrain,-0.07508942998240095,0.06441013392509318
2018-01-29/2018-02-04,Middle East,Iran,0.09264286654422124,0.06389765053565678
2018-01-29/2018-02-04,Middle East,Iraq,0.07482051921720517,0.061292244779884285
2018-01-29/2018-02-04,Middle East,Israel,-3.00632280036147,0.1394275687672728
2018-01-29/2018-02-04,Middle East,Jordan,-0.8790543923220986,0.07543000484090587
2018-01-29/2018-02-04,Middle East,Kuwait,0.6377258609840145,0.22993291467877575
2018-01-29/2018-02-04,Middle East,Lebanon,-0.575446932220419,0.06876890406965074
2018-01-29/2018-02-04,Middle East,Palestine,0.6929137245531938,0.05093776478104254
2018-01-29/2018-02-04,Middle East,Qatar,0.6470755231512767,0.2256890245654902
2018-01-29/2018-02-04,Middle East,Saudi Arabia,-1.0046445944774731,0.08211625934340379
2018-01-29/2018-02-04,Middle East,Syria,2.3874182460281097,0.05501541876456746
2018-01-29/2018-02-04,Middle East,Turkey,-0.25417170701983677,0.06930798788520487
2018-01-29/2018-02-04,Middle East,Yemen,1.2621331159056772,0.114240169646567
2018-02-05/2018-02-11,Middle East,Bahrain,-0.42794924876947193,0.06452332378493592
2018-02-05/2018-02-11,Middle East,Iran,0.14145430730394995,0.056891086619294554
2018-02-05/2018-02-11,Middle East,Iraq,0.2053816652662317,0.060447020916073894
2018-02-05/2018-02-11,Middle East,Israel,-2.0883225381356216,0.11461678380259273
2018-02-05/2018-02-11,Middle East,Jordan,-1.4183935037600535,0.09541259881807598
2018-02-05/2018-02-11,Middle East,Kuwait,0.752515108668009,0.2377390606036693
2018-02-05/2018-02-11,Middle East,Lebanon,-1.5459215639308537,0.0971797918762565
2018-02-05/2018-02-11,Middle East,Palestine,0.8797961834614028,0.05106009451216323
2018-02-05/2018-02-11,Middle East,Qatar,0.7659352737450077,0.2218088732918632
2018-02-05/2018-02-11,Middle East,Saudi Arabia,-0.6170564286276842,0.06858024185346549
2018-02-05/2018-02-11,Middle East,Syria,2.429318661019519,0.054529378232505275
