tradingDay,dayOffset,events_CaucasusCA,events_Europe,events_MiddleEast,events_NorthAfrica,Return_EEM,Return_GLD,Return_ITA,Return_USO,Return_VIX
2018-01-03,-1.0,60,27,180,14,,,,,
2018-01-03,0.0,60,27,180,14,0.00958130026643822,-0.002636850395774437,0.001485703743332678,0.022369549676082512,-0.06345965303826784
2018-01-03,1.0,60,27,180,14,0.004951509875661841,0.00512737855482448,0.0069951858109964515,0.002431096645075792,0.007650344417148736
2018-01-03,2.0,60,27,180,14,0.008622566301456747,-0.0010361649479245783,0.008998452094124199,-0.004850401495348988,0.0
2018-01-03,3.0,60,27,180,14,0.0,-0.00015961279955833962,0.006049904009458373,0.005686408808944554,0.03253798069916325
2018-01-04,-1.0,82,32,150,15,0.00958130026643822,-0.002636850395774437,0.001485703743332678,0.022369549676082512,-0.06345965303826784
2018-01-04,0.0,82,32,150,15,0.004951509875661841,0.00512737855482448,0.0069951858109964515,0.002431096645075792,0.007650344417148736
2018-01-04,1.0,82,32,150,15,0.008622566301456747,-0.0010361649479245783,0.008998452094124199,-0.004850401495348988,0.0
2018-01-04,2.0,82,32,150,15,0.0,-0.00015961279955833962,0.006049904009458373,0.005686408808944554,0.03253798069916325
2018-01-04,3.0,82,32,150,15,-0.0016283306859876667,-0.0046284750854692636,0.006428037976849321,0.015347300373743433,0.0588234704847832
2018-01-05,-1.0,68,32,192,25,0.004951509875661841,0.00512737855482448,0.0069951858109964515,0.002431096645075792,0.007650344417148736
2018-01-05,0.0,68,32,192,25,0.008622566301456747,-0.0010361649479245783,0.008998452094124199,-0.004850401495348988,0.0
2018-01-05,1.0,68,32,192,25,0.0,-0.00015961279955833962,0.006049904009458373,0.005686408808944554,0.03253798069916325
2018-01-05,2.0,68,32,192,25,-0.0016283306859876667,-0.0046284750854692636,0.006428037976849321,0.015347300373743433,0.0588234704847832
2018-01-05,3.0,68,32,192,25,-0.00632006084260095,0.002405158456580736,-0.0013904913322821955,0.008751043199854092,-0.025793673695410413
2018-01-08,-1.0,232,99,542,75,0.008622566301456747,-0.0010361649479245783,0.008998452094124199,-0.004850401495348988,0.0
2018-01-08,0.0,232,99,542,75,0.0,-0.00015961279955833962,0.006049904009458373,0.005686408808944554,0.03253798069916325
2018-01-08,1.0,232,99,542,75,-0.0016283306859876667,-0.0046284750854692636,0.006428037976849321,0.015347300373743433,0.0588234704847832
2018-01-08,2.0,232,99,542,75,-0.00632006084260095,0.002405158456580736,-0.0013904913322821955,0.008751043199854092,-0.025793673695410413
2018-01-08,3.0,232,99,542,75,0.0061550762564031025,0.003279242310744168,0.009800205134101514,0.001577247918613578,0.006110022554106864
2018-01-09,-1.0,81,41,182,57,0.0,-0.00015961279955833962,0.006049904009458373,0.005686408808944554,0.03253798069916325
2018-01-09,0.0,81,41,182,57,-0.0016283306859876667,-0.0046284750854692636,0.006428037976849321,0.015347300373743433,0.0588234704847832
