week,region,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,Return_EEM,Return_GLD,Return_ITA,Return_USO,Return_VIX
2018-01-01/2018-01-07,Caucasus and Central Asia,0.15194444444444444,0.5,4.175929579472646,True,0.0231553764435567,0.0014543632111255003,0.0174793416484531,0.019950244825809302,-0.055809308621119096
2018-01-01/2018-01-07,Europe,0.7415243902439024,0.9560975609756097,5.991464547107983,False,0.0231553764435567,0.0014543632111255003,0.0174793416484531,0.019950244825809302,-0.055809308621119096
2018-01-01/2018-01-07,Middle East,0.0880128205128205,0.23076923076923078,4.774322440997056,True,0.0231553764435567,0.0014543632111255003,0.0174793416484531,0.019950244825809302,-0.055809308621119096
2018-01-01/2018-01-07,Northern Africa,0.23066666666666666,0.6,2.598302565181916,True,0.0231553764435567,0.0014543632111255003,0.0174793416484531,0.019950244825809302,-0.055809308621119096
2018-01-08/2018-01-14,Caucasus and Central Asia,0.09097222222222223,0.4444444444444444,3.396295704825224,True,0.0077905786559275,0.013013632823967499,0.0362630196740547,0.0447478332812411,0.1000178536588301
2018-01-08/2018-01-14,Europe,0.6465670731707318,0.9158536585365854,5.991464547107983,False,0.0077905786559275,0.013013632823967499,0.0362630196740547,0.0447478332812411,0.1000178536588301
2018-01-08/2018-01-14,Middle East,0.04564102564102564,0.15384615384615385,3.454239684537971,True,0.0077905786559275,0.013013632823967499,0.0362630196740547,0.0447478332812411,0.1000178536588301
2018-01-08/2018-01-14,Northern Africa,0.13500000000000004,0.26666666666666666,1.9597697525734104,True,0.0077905786559275,0.013013632823967499,0.0362630196740547,0.0447478332812411,0.1000178536588301
2018-01-15/2018-01-21,Caucasus and Central Asia,0.1173611111111111,0.4444444444444444,3.5357017773054604,True,0.018737559167079,-0.0042157053264061,0.00033593187266590073,-0.0116793223686712,0.1173658138845505
2018-01-15/2018-01-21,Europe,0.5515426829268293,0.8878048780487805,5.991464547107983,False,0.018737559167079,-0.0042157053264061,0.00033593187266590073,-0.0116793223686712,0.1173658138845505
2018-01-15/2018-01-21,Middle East,0.048782051282051285,0.14102564102564102,3.5918335125863017,True,0.018737559167079,-0.0042157053264061,0.00033593187266590073,-0.0116793223686712,0.1173658138845505
2018-01-15/2018-01-21,Northern Africa,0.1366666666666667,0.5333333333333333,2.198910037750384,True,0.018737559167079,-0.0042157053264061,0.00033593187266590073,-0.0116793223686712,0.1173658138845505
2018-01-22/2018-01-28,Caucasus and Central Asia,0.08736111111111111,0.3888888888888889,2.841212582193089,True,0.0321543097451148,0.013077587993799999,0.0260430840315326,0.040538840352855404,-0.015203517099103104
2018-01-22/2018-01-28,Europe,0.59075,0.9060975609756098,5.991464547107983,False,0.0321543097451148,0.013077587993799999,0.0260430840315326,0.040538840352855404,-0.015203517099103104
2018-01-22/2018-01-28,Middle East,0.06993589743589744,0.15384615384615385,3.816834581529783,True,0.0321543097451148,0.013077587993799999,0.0260430840315326,0.040538840352855404,-0.015203517099103104
2018-01-22/2018-01-28,Northern Africa,0.155,0.6666666666666666,2.5071108140425,True,0.0321543097451148,0.013077587993799999,0.0260430840315326,0.040538840352855404,-0.015203517099103104
2018-01-29/2018-02-04,Caucasus and Central Asia,0.09333333333333332,0.3611111111111111,3.116704005166594,True,-0.0592666804547139,-0.0130649022411126,-0.018393187083422198,-0.014710396295427097,0.5131305751334048
2018-01-29/2018-02-04,Europe,0.5434085365853659,0.8719512195121951,5.991464547107983,False,-0.0592666804547139,-0.0130649022411126,-0.018393187083422198,-0.014710396295427097,0.5131305751334048
2018-01-29/2018-02-04,Middle East,0.049166666666666664,0.10256410256410256,3.0865368388001384,True,-0.0592666804547139,-0.0130649022411126,-0.018393187083422198,-0.014710396295427097,0.5131305751334048
2018-01-29/2018-02-04,Northern Africa,0.07933333333333333,0.3333333333333333,1.437584495308115,True,-0.0592666804547139,-0.0130649022411126,-0.018393187083422198,-0.014710396295427097,0.5131305751334048
2018-02-05/2018-02-11,Caucasus and Central Asia,0.08333333333333333,0.3055555555555556,2.8889722907932454,True,-0.052714052221817694,-0.012827990828581801,-0.0439547674924693,-0.093830792347385,0.9593869354334807
2018-02-05/2018-02-11,Europe,0.5627378048780488,0.8853658536585366,5.991464547107983,False,-0.052714052221817694,-0.012827990828581801,-0.0439547674924693,-0.093830792347385,0.9593869354334807
2018-02-05/2018-02-11,Middle East,0.044679487179487186,0.1282051282051282,3.242309889128751,True,-0.052714052221817694,-0.012827990828581801,-0.0439547674924693,-0.093830792347385,0.9593869354334807
2018-02-05/2018-02-11,Northern Africa,0.08733333333333333,0.4,1.5041868849742202,True,-0.052714052221817694,-0.012827990828581801,-0.0439547674924693,-0.093830792347385,0.9593869354334807
2018-02-12/2018-02-18,Caucasus and Central Asia,0.17333333333333334,0.5277777777777778,4.070872344303415,True,0.06572292842948059,0.025423004874387898,0.0592219894417019,0.0433341446160097,-0.361883926784148
2018-02-12/2018-02-18,Europe,0.5580182926829268,0.8768292682926829,5.991464547107983,False,0.06572292842948059,0.025423004874387898,0.0592219894417019,0.0433341446160097,-0.361883926784148
2018-02-12/2018-02-18,Middle East,0.07871794871794871,0.1794871794871795,4.241648901267367,True,0.06572292842948059,0.025423004874387898,0.0592219894417019,0.0433341446160097,-0.361883926784148
2018-02-12/2018-02-18,Northern Africa,0.15999999999999998,0.4,2.3071666738586463,True,0.06572292842948059,0.025423004874387898,0.0592219894417019,0.0433341446160097,-0.361883926784148
2018-02-19/2018-02-25,Caucasus and Central Asia,0.14708333333333334,0.5,3.577676643295564,True,0.0038792879632368014,-0.0142098382370248,0.0016869590400560002,0.0314439076630221,-0.1536325922654558
2018-02-19/2018-02-25,Europe,0.5428780487804878,0.8707317073170732,5.991464547107983,False,0.0038792879632368014,-0.0142098382370248,0.0016869590400560002,0.0314439076630221,-0.1536325922654558
2018-02-19/2018-02-25,Middle East,0.06115384615384616,0.16666666666666666,3.66902223323162,True,0.0038792879632368014,-0.0142098382370248,0.0016869590400560002,0.0314439076630221,-0.1536325922654558
