week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Qatar,0.545,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Turkey,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Yemen,0.0025,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Turkey,0.9975,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Yemen,0.1,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Saudi Arabia,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Saudi Arabia,Turkey,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Saudi Arabia,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Syria,Turkey,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Syria,Yemen,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Turkey,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Iran,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Iraq,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Israel,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Jordan,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Kuwait,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Lebanon,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Qatar,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Turkey,0.18,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Iraq,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Israel,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Jordan,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Kuwait,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Lebanon,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Qatar,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Turkey,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Israel,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Jordan,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Kuwait,0.045,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Lebanon,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Qatar,0.0275,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Turkey,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iraq,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Jordan,0.7275,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Kuwait,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Lebanon,0.275,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Qatar,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Saudi Arabia,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Turkey,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Israel,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Kuwait,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Lebanon,0.1025,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Qatar,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Saudi Arabia,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Turkey,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Jordan,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Lebanon,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Palestine,0.1525,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Qatar,0.535,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Turkey,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Kuwait,Yemen,0.0825,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Lebanon,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Lebanon,Qatar,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Lebanon,Saudi Arabia,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Lebanon,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Lebanon,Turkey,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Lebanon,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Palestine,Qatar,0.88,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Palestine,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Palestine,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Palestine,Turkey,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Palestine,Yemen,0.015,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Qatar,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Qatar,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Qatar,Turkey,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Qatar,Yemen,0.0425,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Saudi Arabia,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Saudi Arabia,Turkey,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Saudi Arabia,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Syria,Turkey,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Syria,Yemen,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Turkey,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Iran,0.9875,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Iraq,0.2775,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Israel,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Jordan,1.0,False
