week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap,entropyReliable
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Morocco,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Sudan,0.785,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Tunisia,0.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Libya,Morocco,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Libya,Sudan,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Libya,Tunisia,0.305,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Morocco,Sudan,0.01,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Morocco,Tunisia,0.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Sudan,Tunisia,0.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Algeria,Egypt,0.6525,True,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Algeria,Libya,0.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Algeria,Morocco,1.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Algeria,Sudan,0.1625,True,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Algeria,Tunisia,0.995,True,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Egypt,Libya,0.0025,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Egypt,Morocco,1.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Egypt,Sudan,0.0875,True,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Egypt,Tunisia,0.9725,True,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Libya,Morocco,1.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Libya,Sudan,0.99,True,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Libya,Tunisia,1.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Morocco,Sudan,0.0,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Morocco,Tunisia,0.0125,False,True
2018-02-05/2018-02-11,Northern Africa,1.5041868849742202,Sudan,Tunisia,1.0,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Algeria,Egypt,0.9925,False,True
