week,region,meanAbsBeta,maxBeta,maxStd,topCountry,secondCountry,firstMinusSecond,meanAbsBetaChange,maxBetaChange,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,PC1,PC2,cluster,clusterLabel
2018-12-03/2018-12-09,Caucasus and Central Asia,1.3732221094009942,2.815753074952537,0.1257326625172697,Afghanistan,Azerbaijan,0.8688654562468594,-0.176977288382508,-0.0416887633446196,0.0638888888888888,0.2222222222222222,2.33657366104685,True,-0.8708612223311345,0.08624779490530396,3,Calm / steady-ranking
2018-12-10/2018-12-16,Caucasus and Central Asia,1.2790808578883657,2.4669042383640987,0.1360422273036987,Afghanistan,Azerbaijan,0.8255922396810738,-0.0941412515126287,-0.3488488365884383,0.0977777777777777,0.3055555555555556,3.3480871952377376,True,-0.2434222164674025,-0.21363749623470982,3,Calm / steady-ranking
2018-12-17/2018-12-23,Caucasus and Central Asia,0.992841996053926,1.9842446574467445,0.1631196030993341,Afghanistan,Azerbaijan,0.7975683396420847,-0.2862388618344396,-0.4826595809173541,0.1905555555555555,0.5555555555555556,4.558110096496517,True,1.5015851364503088,-0.6011349039227091,0,Contested but quiet
2018-12-24/2018-12-30,Caucasus and Central Asia,1.0529227505329084,2.062552260163077,0.165949174753117,Afghanistan,Azerbaijan,0.7296830608135225,0.0600807544789825,0.0783076027163325,0.185,0.4722222222222222,4.119742303581674,True,0.7140416160812701,0.5109994974121979,2,Chaotic multi-front escalation
2018-12-31/2019-01-06,Caucasus and Central Asia,1.5100393311631504,2.766434497889968,0.1527202276035877,Afghanistan,Azerbaijan,0.6750085587019394,0.4571165806302419,0.7038822377268907,0.2056944444444444,0.3888888888888889,4.438498162751418,True,-0.8328469090879712,2.262508447447432,1,Acute crisis / escalation
2019-01-07/2019-01-13,Caucasus and Central Asia,1.4160573344514549,2.653044894235164,0.157043633666919,Afghanistan,Azerbaijan,0.6429261687094634,-0.0939819967116954,-0.1133896036548036,0.0956944444444444,0.3888888888888889,3.3916727957481783,True,-0.24989399514938068,0.16946508506662014,3,Calm / steady-ranking
2019-01-14/2019-01-20,Caucasus and Central Asia,1.0948990196218042,2.187315189746958,0.1582525849469986,Afghanistan,Azerbaijan,0.8724456634218882,-0.3211583148296506,-0.465729704488206,0.1704166666666667,0.5833333333333334,4.226240957218039,True,1.3091403512604687,-0.45052899518241796,0,Contested but quiet
2019-01-21/2019-01-27,Caucasus and Central Asia,1.2125651846879917,2.207245030647404,0.1515164416037224,Afghanistan,Azerbaijan,0.5362792897283364,0.1176661650661874,0.019929840900446,0.1011111111111111,0.4444444444444444,3.413015477759376,True,-0.03414802841492191,0.26714788846622367,3,Calm / steady-ranking
2019-01-28/2019-02-03,Caucasus and Central Asia,1.0633167362073872,2.133135108163151,0.162895785107146,Afghanistan,Azerbaijan,0.8007325144581023,-0.1492484484806044,-0.0741099224842529,0.2086111111111111,0.5277777777777778,4.690810646234116,True,1.099867983719343,0.19056256861833468,0,Contested but quiet
2019-02-04/2019-02-10,Caucasus and Central Asia,0.920543186318154,1.7874408195063054,0.1743393288236384,Afghanistan,Azerbaijan,0.4143884380965446,-0.1427735498892333,-0.3456942886568457,0.2030555555555555,0.5277777777777778,4.079003807669882,True,1.4802674038746961,-0.6861810714062735,0,Contested but quiet
2019-02-11/2019-02-17,Caucasus and Central Asia,1.2265729825516134,2.1659220191864748,0.1445345054161002,Afghanistan,Azerbaijan,0.6567206212801953,0.3060297962334595,0.3784811996801693,0.1098611111111111,0.3888888888888889,3.4323145115477893,True,-0.4659600417635776,1.0222656822152039,1,Acute crisis / escalation
2019-02-18/2019-02-24,Caucasus and Central Asia,0.9544176646322788,1.9370555779978145,0.1636796500859579,Afghanistan,Azerbaijan,0.6573083961441701,-0.2721553179193346,-0.2288664411886602,0.2075,0.5,4.351225237286188,True,1.3678548057932047,-0.48543803655616974,0,Contested but quiet
2019-02-25/2019-03-03,Caucasus and Central Asia,1.3338660106199571,2.391712057707548,0.1267667944775024,Afghanistan,Azerbaijan,0.94803390272754,0.3794483459876784,0.4546564797097336,0.0977777777777777,0.2777777777777778,2.965904478816847,True,-1.119098338700444,1.496172161589281,1,Acute crisis / escalation
2019-03-04/2019-03-10,Caucasus and Central Asia,1.4459604779865702,2.770977408394283,0.1272536197591369,Afghanistan,Azerbaijan,0.7254892254115584,0.1120944673666131,0.3792653506867349,0.0831944444444444,0.25,2.6530700835552867,True,-1.244689946687712,0.9517039201733594,1,Acute crisis / escalation
2019-03-11/2019-03-17,Caucasus and Central Asia,1.1412434636406623,2.209368183190254,0.1374318207678855,Afghanistan,Azerbaijan,0.6989117655066104,-0.3047170143459079,-0.561609225204029,0.1054166666666666,0.3055555555555556,2.7931353584513943,True,0.2663409435359372,-1.0792756815796747,3,Calm / steady-ranking
2019-03-18/2019-03-24,Caucasus and Central Asia,1.2550319598603303,2.258614297451326,0.1448658185373328,Afghanistan,Azerbaijan,0.769195216064964,0.113788496219668,0.0492461142610718,0.1068055555555555,0.3055555555555556,3.230378396689262,True,-0.40239233864495894,0.4517447643164865,1,Acute crisis / escalation
2019-03-25/2019-03-31,Caucasus and Central Asia,1.4749738663647576,2.620403895560514,0.1244723903312984,Afghanistan,Azerbaijan,0.8591094394130443,0.2199419065044272,0.3617895981091878,0.0968055555555555,0.2222222222222222,2.9643287091834285,True,-1.3410613750114546,1.1774719437825738,1,Acute crisis / escalation
2019-04-01/2019-04-07,Caucasus and Central Asia,1.580315908216791,2.7771845164779814,0.1211548839728029,Afghanistan,Azerbaijan,0.8031067294025342,0.1053420418520334,0.1567806209174675,0.0959722222222222,0.2777777777777778,3.075059244671365,True,-1.256414736885713,0.8648143346489607,1,Acute crisis / escalation
2019-04-08/2019-04-14,Caucasus and Central Asia,1.2288733006597334,2.231576862298938,0.1447581116943727,Afghanistan,Azerbaijan,0.7089728245973028,-0.3514426075570576,-0.5456076541790433,0.1095833333333333,0.3333333333333333,3.308181337867606,True,0.31285472209147025,-1.0080113964613995,3,Calm / steady-ranking
2019-04-15/2019-04-21,Caucasus and Central Asia,1.3572976132282444,2.8239860421495537,0.1455971352022196,Afghanistan,Azerbaijan,0.9944652398972452,0.1284243125685109,0.5924091798506157,0.0673611111111111,0.25,2.662337985505107,True,-1.1081162216564895,1.5062731868806878,1,Acute crisis / escalation
2019-04-22/2019-04-28,Caucasus and Central Asia,1.0938624049343373,2.1841549010564894,0.1246532354881963,Afghanistan,Azerbaijan,0.8115727135513715,-0.2634352082939071,-0.6398311410930644,0.1216666666666666,0.2777777777777778,3.368367382740914,True,0.2433983559197729,-1.0709945554727094,3,Calm / steady-ranking
